[3.025.040]
TEMPRESA            Tabela de Empresas
WEFR1R2055          R-2055 -  Informações do Estabelecimento Adquirente
WEFR2R2055          R-2055 - Informações de Identificação do Produtor Rural
WEFR3R2055          R-2055 - Informações de Identificação da Aquisição
WEFR4R2055          R-2055 - Informações de Identificação do Processo Judicial
WEFR92055           R-2055 - Informações do Contribuinte
WZCTEDADREF         Zoom dos Dados do CT-e Referenciado
WZCTESUBSTI          Zoom Informações do CT-e de Substituição - Tomador
WBWSTITBA4          Dados Ajuste Remessa por WS
WBANCOZ             Zoom de Banco
WRATEIOZ            Zoom de Rateio
WBWSRECTIT          Lista de Títulos para Reconsulta
WTITAUTORI          Autorização de Títulos para Liberação
WES09006            Gerar Ordem de Compra Conforme Dimensões de Peças
WES05088            Modelo 24 - OF Produtos Pai / Componentes / Especificação Técnica
WZBCORET            Zoom Layout Arquivo Retorno Banco
WCOBENCM            Cópia Benefício Fiscal por Classificação Fiscal
WCOPFILBEN          Cópia do Benefício Fiscal
WES02035            Atualiza Pedidos de Venda
WCADSERNUM          Lista de Série e Próximo Número de Nota por CFOP
WEXPSI50            Embarque Expedição Simplificada
WEXPSI70            Excluir Produto
WVLRANSOB           Devolver Sobras da Antecipação
WUMPRODRE           Lista Produtos Reaproveitamento
WECFY520            Lista de Pagamentos/Recebimentos do Exterior ou Não Residentes
WZECFY520           Zoom de Pagamentos/Recebimentos do Exterior ou Não Residentes
WHELPI157           Help Reg. I157 - Transf. Saldos Plano Contas Ant.
WRELPLCONT          Lista Rel.Contas Plano C. Nomenclatura Alt.
WZRELPLCONT         Zoom Rel. Contas Plano C. Nomenclatura Alt.
WTITREPLIC          Marca Títulos Replicados para Excluir
WHISTNAR            Zoom do Histórico da Narrativa do Item
WCTEMA01            Lista de CT-es para Desacordo
WCTEMA03            Zoom Manifestação de CT-e
WCTEMA04            Prestação de Serviço em Desacordo
WEVECTETREGA        Lista de Evento Comprovante de Entrega CT-e
WZEVECTETREGA       Zoom do Evento Comprovante da Entrega do CT-e
WRELPLAM            Geração Plano Mestre MRP
WEFCFOPCC           Lista de Relações CFOP X Conta Contábil
WMARLISTCOT         Lista de Marcação de Cotações
WZTOQVLRUXML        Valor Unitário do Item no XML
WECFN620Z           Zoom do Cálculo do IRPJ Mensal por Estimativa
WECFN630Z           Zoom do Cálculo do IRPJ com Base no Lucro Real
WECFN660Z           Zoom do Cálculo da CSLL Mensal por Estimativa
WECFN670Z           Zoom do Cálculo da CSLL com Base no Lucro Real
WZECF310            Zoom Contas Contábeis Relac. Lançamento Parte A
WZECF315            Zoom Processos Juciciais e Administrativos
WZECFM305           Zoom Lançamento na Conta da Parte B
WZECFM312           Nro Lançamentos Relac. A Conta Contábil
WZLALURCTB          Zoom Apuração Lalur e Lacs na Contabilidade
WES05083            Atualização de Reservas de OFs
WES05084            Marcação de OFs do Especial ES05083
WELYEXPS            Layout Etiqueta da Expedição Simplificada
WPARMANDES          Parâmetros Manifesto do Destinatário
WZACMUSULIBE        Zoom dos Usuários que Liberarm as Ordens de Compras Marcadas
WLOTPREREL          Previsto x Realizado do Lote
WNTVPE49            Marca Volumes da Expedição para NF
WES03021            Geração de Planilha com Dados dos Títulos
WES03020            Gera Planilha com Dados dos Faturamentos
WLISMOEMP           Fornecedores e Moedas
WVALMOEST           Valores para conversão em Moeda Estrangeira
WATUCOTAC           Atualiza Cotação moeda em Pedido de Compra
WZPRODMAX           Zoom de Saldo Máximo dos Produtos
WZPRODMIN           Zoom de Saldo Mínimo dos Produtos
WRESERV9            Substituição de Reservas por Lote
WLOTEX16            Altera Quantidade do Processo da OF
WRESTUSUA           Lista de Restrições de Acesso no Cadastro de Empresa
WZRESTUSUA          Zoom de Restrições de Acesso Cadastro de Empresa
WLACTB3             Lançamentos Contábeis para Alteração
WLACTB4             Lista de Lançamentos Contábeis para Alteração
WNDOWXML            Parâmetros de Download de XML
WEXPSI74            Marcar Volumes
WPEDID94            Zoom Valores ST PIS/COFINS Pedido de Venda
WPROGFINA           Lista de Prioridades da Programação Fina da Produção
WPRIPPROG           Lista de Priorização de Pedidos para Programação da Produção
WZPRIPROG           Zoom de Priorização de Pedidos para Programação da Produção
WCOTAORDZ           Relação Cotação com Ordens de Compra
WEXPSI75            Peso do Volume
WZREQFABORD         Zomo de Ordens de Compra Relacionadas a Ordens de Fabricação
WLOTPR13            Lotes de Produção
WPROCE41            Seleciona Máquina de Alteração nos Processos
WES09007            Análise de Compras a Partir do Pedido de Venda
WZTOQVEINOV         Zoom do Detalhamento de Veículos Novos
WMURPRO6            Relatório de Produto Otimizado
WPEBQBOLET          Detalhes dos Boletos das Previsões de Pedidos de Venda
WPEBPREFIL          Pré-filtros da Geração de Boletos das Previsões dos Pedidos de Venda (E-commerce)
WPEBPAINEL          Painel de Títulos de Previsões de Pedidos de Venda
WPEBMANPREV         Manutenção de Previsões Bloqueadas
WPEBLISTA           Lista de Previsões de Pedidos de Venda para Boletos
WPEBZPEDI           Zoom do Boleto no Pedido
WEDI117             Lista de Controles Bloqueados para Marcação
WPEBMEEXRE          Menu de Exclusão de Remessa
WPEBREM1            Pré-filtros da Geração de Arquivo Remessa (E-commerce)
WPEBREM8            Títulos de Previsões de Pedidos de Venda para Cobrança Eletrônica
WLACSCOPIA          Relação de Contas Alteradas na Cópia do Lalur para Lacs
WREFNF05            Selecione os Itens das Notas Referenciadas - Devolução
WAPPFVPED           Pedidos/Assistências Rejeitados
WNSORD02            Seleciona Números de Série Ordem de Produção
WES09008            Cálculo de Custos dos Produtos Fabricados
WPACK01             Filtro para Geração de Packing List
WPACK02             Marcação de Itens/Pedidos para Geração de Packing List
WOBSPEDMULT         Observação do Pedido de Compra por Depósito
WECFM310            Contas Contábeis Relacionadas ao Lançamento da Parte A
WZTOQDESICMST       Zoom Despesa Ref. a ICMS ST
WZTOQCNVQNT         Zoom Quantidade NF-e Já Convertida
WLNCTB              Informações para Lançamentos de Deduções
WNOTEN17            Vincular Pedido de Venda
WHELEFD7            Help Tipo de Leiaute Bloco K
WPRODCME            Custo Reposição Moeda Estrangeira do Produto
WOPEMARCA           Lista de CFOPs na Tabela para Marcar/Desmarcar
WVERDEPPAD          Solicita Informação do Depósito Padrão do Força de Venda no Primeiro Acesso
WEXPSI77            Restrições de Itens Para Embarque
WEXPSI78            Agrupa itens para embarque
WIMPORDM            Filtros do Relatório Impressão de Ordem de Manutenção
WHISRETTIT          Histórico das Ocorrências dos Retornos Bancários do Título
WEXPSI79            Inclusão / Alteração de Item Separado
WHISPREVEN          Histórico de Preços de Venda
WFILSUCA            Relatório de Retalhos/Sucatas
WEXPSI59            Libera Volume para Faturamento
WAPP0030            Integração com Força de Vendas - Pedidos de Venda
WAPP0031            Integração com Força de Vendas - Assistência Técnica
WAPP0032            Integração com Força de Vendas - Orçamentos
WAPP0033            Menu Força de Vendas - Assistência Técnica
WHELEFD8            Help  ICMS Antecipado - C197
WIRPJLIS            Lista Apuração IRPJ/CSLL
Wedela33            edela33
WPEFUT01            Relatório Pedidos de Venda/Entrega Futura
WFILITEMNPROD       Filtros de relatório Itens Não Produzidos
WITEMNP2            Lista de Itens Não Produzidos
WITEMNPROD          Lista de Itens Não Produzidos
WITEMNZOOM          Zoom de Itens Não Produzidos
WNFCEAUTCT          Dados da Transação com Cartão
WMENUTIPI           Menu de Importação da Tabela TIPI
WATUTEMPOS          Atualiza Tempos do Planilhamento em Aberto na Produção
WSIMUCOPROD         Simulação de Compras/Estoque e Produção
WEXPREA3            Marca Ordens de Produção
WES03022            Análise dos custos referente ao Centro de Custo
WNFVINOF            Notas vinculadas a Ordem
WGLOSDOC            Glossário das Variáveis do Relatório Conforme Documento
WZEFRX4020          Zoom de Infos. de Pagamentos no Exterior
WZEFRT4020          Zoom do Endereço do Beneficiário no Exterior
WZEFRR4020          Zoom de Pagamentos/Créditos a Beneficiário PJ
WZEFRP4020          Zoom de Pagamento Efetuado
WZEFRN4020          Zoom de Não Retenção ou Processos Judiciais
WZEFRJ4020          Zoom de Infos. Rendimentos de Decisão Judicial
WZEFRG4020          Zoom de Identificação do Advogado
WZEFRF4020          Zoom de Retenções na Fonte e BC
WZEFRE4020          Zoom de Identificação do Estabelecimento
WZEFRD4020          Zoom de Rendimento
WZEFRC4020          Zoom de Identificação do Contribuinte
WZEFRB4020          Zoom de Identificação do Beneficiário
WZEFRA4020          Zoom de Detalhamento das Despesas Judiciais
WEFRX4020           Lista de Infos. de Pagamentos no Exterior
WEFRT4020           Lista de Endereço do Beneficiário no Exterior
WEFRR4020           Lista de Pagamentos/Créditos a Beneficiário PJ
WEFRR4000           Retenções de IR, CSLL, PIS e COFINS
WEFRP4020           Lista de Pagamento Efetuado
WEFRN4020           Lista de Não Retenção ou Processos Judiciais
WEFRJ4020           Lista de Infos. Rendimentos de Decisão Judicial
WEFRG4020           Lista de Identificação do Advogado
WEFRF4020           Lista de Retenções na Fonte e BC
WEFRE4020           Lista de Identificação do Estabelecimento
WEFRD4020           Lista de Rendimento
WEFRC4020           Lista de Identificação do Contribuinte
WEFRB4020           Lista de Identificação do Beneficiário
WEFRA4020           Lista de Detalhamento das Despesas Judiciais
WES03023            Controle de Estoque/Faturamento
WEFR1050            Lista de Entidades Ligadas
WEFRA1050           Lista de Alteração das Informações de Entidade
WEFRC1050           Lista de Identificação do Contribuinte
WEFRLI1050          Lista de Informações de Entidades Ligadas
WZEFRC1050          Zoom de Identificação do Contribuinte
WAPP0058            Integração com Força de Vendas - Visitas
WEXPSI82            Tela de Marcação de Volumes
WRASTORDEM          Rastreabilidade da Ordem
WCTEEVINSUC         Lista de Evento Insucesso na Entrega do CT-e
WZCTEEVINSUC        Zoom do Evento Insucesso na Entrega do CT-e
WES03024            Especial Fluxo de Caixa Aberto
WEXPSI84            Agrupa Itens para Embarque
WBATDVOL            Batismo Descrição de Volumes
WEXPSI85            Produtos dos Pedidos da Expedição
WEXPSI86            Quantidades de Volumes
WBAC1473            Alimenta Chave TOKEN de Comunicação da Tecnospeed
WBLO1ORC            Orçamentos Especiais - Um Produto Bloqueados
WBLOQORC            Orçamentos Bloqueados
WRELDOCVAR          Glossário das Variáveis Relatório Conforme Documento
WCONFVLRET          Conferência dos Valores Retidos na Fonte
WDEVOL31            Comissões a Serem Estornadas
WPLAINSP            Relatório de Planos e Inspeções
WSELPLAINSP         OFs para Plano e Inspeções
WRQLDOCUMEN         Filtros do Relatório Conforme Documento
WORDEMINDUS         Lista de Ordens de Produção para Atribuição de Industrialização
WREINFPAR           Apresenta Conteúdo do Arquivo Antes da Emissão do REINF
WGLOSRNC            Glossário de Variáveis do Relatório RNC Conforme Documento
WQLREGN1            Lista de Registros de Não Conformidades
WRQLDOC             Relatório RNC Conforme Documento
WCORR0221           Lista de Correlação 0221
WCORRCOITEM         Correlação entre Códigos de Itens
WRELTODAMOV         Relatório de Movimentações
WTODASMOV           Lista de Todas as Movimentações
WPARUF              Lista de Ufs Parametrizadas por Rotina
WIMPITENS           Importar Itens Nota de Saída
WNOTA03             Importação de Itens por Depósito
WEFRA4010           Cadastro de Pagamentos/Créditos a Beneficiário PF
WEFRD4010           Lista de Informações de Identificação dos Dependentes do Beneficiário
WEFRE4010           Lista de Informações de Identificação do Rendimento
WEFRF4010           Informações Relativas ao Rendimento Pago/Creditado
WEFRZA4010          Zoom de Pagamentos/Créditos a Beneficiário PF
WEFRZD4010          Zoom de Informações de Identificação dos Dependentes do Beneficiário
WEFRZE4010          Zoom de Informações de Identificação do Rendimento/Pagamento
WEFRZF4010          Zoom das Informações Relativas ao Rendimento Pago/Creditado
WUMMARPLAN          Marcar Planos
WCONVUNIM           Conversão de Unidade de Medida
WEFRG4010           Lista de Informações Relativas as Deduções do Rendimento Tributável
WEFRI4010           Lista de Rendimentos Isentos ou Não Tributáveis
